HAT-P-4 b	0	0.68	1.27	3.0565114	0.0446	0.0	0.0	0.0	0.0	89.67	1550.7	0.0	transit	2007	12/04/05	15.3327777778	36.2297222222	310.0	1.26	1.59	0.24	5890.0	0.0	
HAT-P-24 b	0	0.685	1.242	3.35524	0.0465	0.067	0.0	0.0	0.0	88.6	1495.0	0.0	transit	2010	12/07/05	7.255	14.2622222222	306.0	1.191	1.317	-0.16	6373.0	0.0	
CoRoT-14 b	0	7.6	1.09	1.51214	0.027	0.0	0.0	0.0	0.0	79.6	1781.4	0.0	transit	2010	10/12/22	6.895	-4.46388888889	1340.0	1.13	1.21	0.05	6035.0	0.0	
HAT-P-14 b	0	2.2	1.2	4.627657	0.0594	0.095	0.0	0.0	0.0	83.2	1445.9	0.0	transit	2010	12/04/08	17.3411111111	38.2422222222	205.0	1.386	1.468	0.11	6600.0	0.0	
CoRoT-21 b	0	2.26	1.3	2.72474	0.0417	0.0	0.0	0.0	0.0	86.8	1867.0	0.0	transit	2011	11/12/13	0.0	0.0	0.0	1.29	1.945	0.0	6200.0	0.0	
Mars	0	0.00033799525	0.048489079	686.98	1.52371243	0.09336511	-23.91744784	-4.56813164	49.71320984	1.85181869	206.0	0.0		0	12/01/01	0.0	0.0	0.0	1.0	1.0	1e-08	0.0	0.0	
HAT-P-12 b	0	0.211	0.959	3.2130598	0.0384	0.0	0.0	0.0	0.0	0.0	875.4	0.0	transit	2009	09/05/04	13.9594444444	43.4936111111	142.5	0.73	0.7	-0.29	4650.0	0.0	
HD 80606 b	2	3.94	0.921	111.43637	0.449	0.93366	0.0	0.0	0.0	89.285	339.6	0.0	transit	2001	12/12/08	9.37694444444	50.6036111111	58.4	0.98	0.98	0.43	5370.0	7.63	
CoRoT-4 b	0	0.72	1.19	9.20205	0.09	0.0	0.0	0.0	0.0	90.0	975.6	0.0	transit	2008	08/11/27	6.81305555556	0.672777777778	0.0	1.1	1.15	0.05	6190.0	0.0	
WASP-6 b	0	0.503	1.224	3.361006	0.0421	0.054	0.0	0.0	0.0	88.47	1092.2	0.0	transit	2008	12/04/08	23.2105555556	-21.3261111111	307.0	0.888	0.87	-0.2	5450.0	0.0	
